X;A;B;C;D;E;F;G;H;I;J;K;L;M;N;O;X
1;S;.;.;.;.;D;D;.;.;.;.;D;D;.;.;X
2;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;X
3;.;Z;Z;Z;Z;.;.;Z;.;S;.;.;H;.;.;X
4;.; ;.; ;.;.;.;Z;.;.;.;.;.;H;.;X
5;.;.;.;.;.;.;.;Z;.;S;.;.;H;.;.;X
6;.;.;.;.;.;.;.;Z;.;.;.;.;.;.;.;X
7;S;.;H;.;.;H;.;.;H;.;.;H;.;.;.;X
8;.;.;.;H;.;.;H;.;.;H;.;.;H;.;.;X
9;S;.;H;.;.;H;.;.;H;.;.;H;.;.;.;X
10;.;.;.;.;.;.;.;.;.;.;.;.;.;C;.;X
11;.;.;.;.;.;.;.;.;.;.;.;.;.;C;.;X
12;.;.;.;.;.;.;.;.;.;.;.;.;.;C;.;X
13;.;.;.;.;.;.;.;.;.;.;.;.;.;C;.;X
14;.;.;.;.;.;.;.;.;.;.;.;.;.;C;.;X
15;.;.;.;.;.;.;.;.;.;.;D;D;.;.;.;X
